 "course" , "topic" , "lable" , "dbr_link" , "slide" , "lab" , "lecture" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Evaluation_function" , "Evaluation_function" , "http://dbpedia.org/resource/Evaluation_function" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-2-search-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture2" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Evaluation_function" , "Evaluation_function" , "http://dbpedia.org/resource/Evaluation_function" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab3.pdf" , "http://focu.io/data#COMP472_lab3" , "http://focu.io/data#COMP472_lecture3" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Vector_space" , "Vector_space" , "http://dbpedia.org/resource/Vector_space" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Vector_space" , "Vector_space" , "http://dbpedia.org/resource/Vector_space" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-6-ML-1-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture6" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Vector_space" , "Vector_space" , "http://dbpedia.org/resource/Vector_space" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-4-NB-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture4" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Karyotype" , "Karyotype" , "http://dbpedia.org/resource/Karyotype" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Karyotype" , "Karyotype" , "http://dbpedia.org/resource/Karyotype" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-6-ML-1-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture6" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Reinforcement_learning" , "Reinforcement_learning" , "http://dbpedia.org/resource/Reinforcement_learning" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Reinforcement_learning" , "Reinforcement_learning" , "http://dbpedia.org/resource/Reinforcement_learning" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-6-ML-1-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture6" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Game_tree" , "Game_tree" , "http://dbpedia.org/resource/Game_tree" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Game_tree" , "Game_tree" , "http://dbpedia.org/resource/Game_tree" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-3-adversarial-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture3" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Game_tree" , "Game_tree" , "http://dbpedia.org/resource/Game_tree" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab3.pdf" , "http://focu.io/data#COMP472_lab3" , "http://focu.io/data#COMP472_lecture3" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Pruning" , "Pruning" , "http://dbpedia.org/resource/Pruning" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Pruning" , "Pruning" , "http://dbpedia.org/resource/Pruning" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-3-adversarial-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture3" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Pruning" , "Pruning" , "http://dbpedia.org/resource/Pruning" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab3.pdf" , "http://focu.io/data#COMP472_lab3" , "http://focu.io/data#COMP472_lecture3" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Trigram" , "Trigram" , "http://dbpedia.org/resource/Trigram" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Trigram" , "Trigram" , "http://dbpedia.org/resource/Trigram" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-5-NLP-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture5" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#NP_(complexity)" , "NP_(complexity)" , "http://dbpedia.org/resource/NP_(complexity)" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#NP_(complexity)" , "NP_(complexity)" , "http://dbpedia.org/resource/NP_(complexity)" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab6.pdf" , "http://focu.io/data#COMP472_lab6" , "http://focu.io/data#COMP472_lecture6" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#American_frontier" , "American_frontier" , "http://dbpedia.org/resource/American_frontier" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#American_frontier" , "American_frontier" , "http://dbpedia.org/resource/American_frontier" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-2-search-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture2" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Learning_rule" , "Learning_rule" , "http://dbpedia.org/resource/Learning_rule" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Learning_rule" , "Learning_rule" , "http://dbpedia.org/resource/Learning_rule" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-7-ML-2-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture7" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Bayes_classifier" , "Bayes_classifier" , "http://dbpedia.org/resource/Bayes_classifier" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Bayes_classifier" , "Bayes_classifier" , "http://dbpedia.org/resource/Bayes_classifier" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-6-ML-1-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture6" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Bayes_classifier" , "Bayes_classifier" , "http://dbpedia.org/resource/Bayes_classifier" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-4-NB-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture4" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Sildenafil" , "Sildenafil" , "http://dbpedia.org/resource/Sildenafil" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Sildenafil" , "Sildenafil" , "http://dbpedia.org/resource/Sildenafil" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Lectures/472-4-NB-Winter2020.pdf" ,  , "http://focu.io/data#COMP472_lecture4" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Context-free_grammar" , "Context-free_grammar" , "http://dbpedia.org/resource/Context-free_grammar" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Context-free_grammar" , "Context-free_grammar" , "http://dbpedia.org/resource/Context-free_grammar" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab6.pdf" , "http://focu.io/data#COMP472_lab6" , "http://focu.io/data#COMP472_lecture6" ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Cartilage_oligomeric_matrix_protein" , "Cartilage_oligomeric_matrix_protein" , "http://dbpedia.org/resource/Cartilage_oligomeric_matrix_protein" ,  ,  ,  ,
 "http://focu.io/data#COMP472" , "http://focu.io/data#Cartilage_oligomeric_matrix_protein" , "Cartilage_oligomeric_matrix_protein" , "http://dbpedia.org/resource/Cartilage_oligomeric_matrix_protein" , "file:///C:/Users/YZ/Desktop/COMP474/project/COMP472/Labs/COMP_472_Lab1.pdf" , "http://focu.io/data#COMP472_lab1" , "http://focu.io/data#COMP472_lecture1" ,
